id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute_est,profit_net_est,mois,indicateur_retour,nombre_commandes_par_client,CLV_simplifie
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,livrée,18.040499999999998,7.2162,-6.4738,2025-08,0,13,2954.786
CMD100026,2025-09-21,C0057,Kinshasa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,livrée,143.3742,57.349680000000006,44.61968000000001,2025-09,0,16,3396.4945
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,livrée,37.72,15.088000000000001,7.408000000000001,2025-07,0,21,3880.9702
CMD100028,2025-11-02,C1557,Dakar,Électronique,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,livrée,7.392,2.9568000000000003,-14.9132,2025-11,0,1,7.392
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,livrée,47.1522,18.86088,-1.2691199999999991,2025-12,0,14,3938.7980500000003
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,livrée,101.73360000000001,40.69344000000001,26.71344000000001,2025-11,0,3,418.9671
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,livrée,356.5,142.6,126.75999999999999,2025-11,0,14,5553.24415
CMD100032,2025-08-26,C0362,Kinshasa,Maison,Produit_Maison_5,247.48,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,livrée,230.15639999999996,92.06255999999999,74.04256,2025-08,0,13,4084.68055
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,0.0,4.19,Virement,Google Ads,6.26,livrée,41.26,16.504,6.054,2025-07,0,15,3870.3896999999997
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,livrée,1078.5564,431.42256,415.02256,2025-11,0,20,8838.1891
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,livrée,79.0062,31.602480000000003,16.732480000000002,2025-10,0,21,4369.8875
CMD100037,2025-10-12,C1639,Kinshasa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,livrée,31.787399999999998,12.71496,-2.465040000000001,2025-10,0,4,612.8174
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,0.0,2.73,Mobile Money,Instagram Ads,11.73,livrée,18.17,7.268000000000001,-7.192,2025-08,0,15,3217.1137
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,livrée,91.9149,36.76596,17.60596,2025-10,0,2,158.5347
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,livrée,58.050599999999996,23.22024,10.320240000000002,2025-11,0,3,212.885
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,livrée,21.052799999999998,8.42112,3.21112,2025-10,0,8,1624.2921
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,livrée,57.757600000000004,23.103040000000004,7.223040000000005,2025-10,0,12,3029.7178999999996
CMD100043,2025-10-17,C1496,Kinshasa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,livrée,12.5102,5.00408,-6.33592,2025-10,0,2,140.1902
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,livrée,250.10999999999999,100.044,84.204,2025-08,0,12,4442.9837
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,livrée,25.987199999999998,10.39488,-0.1851199999999994,2025-07,0,14,2482.7693
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,4.03,livrée,155.75600000000003,62.30240000000001,54.07240000000001,2025-08,0,3,687.3199999999999
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,366.81,3,0.09,3.07,Paiement à la livraison,Email,1.34,retournée,1001.3913000000001,400.5565200000001,396.1465200000001,2025-09,1,3,1172.8437000000001
CMD100051,2025-11-22,C0150,Lomé,Électronique,Produit_Électronique_9,389.95000000000005,1,0.08,7.09,Virement,Google Ads,7.9,livrée,358.7540000000001,143.50160000000002,128.51160000000002,2025-11,0,16,4210.5255
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,livrée,38.589999999999996,15.436,-1.7240000000000002,2025-09,0,5,2009.4408
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,3.03,Carte,Influenceur,5.21,livrée,54.5974,21.83896,13.598959999999998,2025-10,0,3,419.2319
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,0.0,3.35,Mobile Money,Influenceur,4.65,retournée,443.99,177.596,169.596,2025-11,1,17,3841.9316
CMD100055,2025-07-30,C1520,Kinshasa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,livrée,272.8495,109.1398,102.72979999999998,2025-07,0,5,1475.8953999999999
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,livrée,1231.6589999999999,492.6636,482.04359999999997,2025-12,0,10,3058.3149999999996
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,annulée,114.144,45.6576,34.4176,2025-11,0,23,4949.3315
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,0.0,5.45,Mobile Money,Google Ads,5.93,livrée,30.22,12.088000000000001,0.7080000000000011,2025-10,0,16,5134.568
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,livrée,942.0333999999999,376.81336,363.59335999999996,2025-07,0,1,942.0333999999999
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,38.94,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,livrée,70.8708,28.34832,4.518320000000001,2025-07,0,10,2203.2949
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,livrée,602.0378000000001,240.81512000000004,232.91512000000003,2025-09,0,4,1204.6473
CMD100063,2025-08-09,C0484,Kinshasa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,livrée,42.0906,16.83624,3.9362399999999993,2025-08,0,3,1373.7621
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,0.0,8.08,Mobile Money,Instagram Ads,8.22,livrée,28.78,11.512,-4.788,2025-07,0,16,5951.0828
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,5.04,retournée,21.859199999999998,8.74368,-6.22632,2025-08,1,12,2731.7078
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,7.02,livrée,316.515,126.606,112.266,2025-08,0,4,580.7244
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,livrée,35.333999999999996,14.1336,6.243599999999999,2025-07,0,2,59.31869999999999
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,livrée,31.4496,12.57984,7.219840000000001,2025-09,0,16,4862.5407
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,livrée,191.94269999999997,76.77708,66.54708,2025-07,0,2,247.90269999999998
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,livrée,582.8092,233.12368000000004,218.63368000000003,2025-07,0,22,4794.4762
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,livrée,583.6554,233.46216,225.75216000000003,2025-12,0,17,6472.825849999999
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,livrée,153.5534,61.42136000000001,50.401360000000004,2025-07,0,26,9684.0545
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,livrée,112.55789999999999,45.02316,26.343159999999997,2025-10,0,20,5113.9787
CMD100074,2025-08-01,C0615,Libreville,Électronique,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,livrée,72.378,28.9512,8.721200000000001,2025-08,0,2,139.338
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,livrée,72.40899999999999,28.9636,18.5036,2025-10,0,4,1523.9499999999998
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,livrée,47.665800000000004,19.06632,2.44632,2025-10,0,2,90.36580000000001
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,livrée,20.619,8.2476,3.4276,2025-11,0,1,20.619
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,livrée,48.70439999999999,19.481759999999998,3.881759999999998,2025-12,0,2,139.11919999999998
CMD100079,2025-10-30,C1965,Douala,Électronique,Produit_Beauté_19,22.03,2,0.04,9.57,Carte,Email,0.73,livrée,42.2976,16.919040000000003,6.619040000000002,2025-10,0,4,984.8528000000001
CMD100080,2025-11-09,C1268,Kinshasa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,8.06,livrée,51.8148,20.725920000000002,9.095920000000001,2025-11,0,1,51.8148
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,retournée,60.314800000000005,24.125920000000004,12.845920000000003,2025-09,1,18,3859.8975
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,livrée,180.2842,72.11368,67.68368,2025-07,0,19,3225.2808999999997
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,livrée,146.6848,58.67392,41.093920000000004,2025-10,0,11,2556.8472
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,livrée,19.9956,7.99824,-18.711759999999998,2025-10,0,20,6666.5022
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,3.06,Paiement à la livraison,Google Ads,6.23,livrée,102.102,40.8408,31.5508,2025-09,0,18,6660.048
CMD100086,2025-11-13,C1219,Dakar,Électronique,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,livrée,150.1095,60.043800000000005,51.7038,2025-11,0,2,182.0895
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,livrée,1310.595,524.238,500.25800000000004,2025-11,0,21,5510.845600000001
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,41.68000000000001,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,livrée,106.28400000000002,42.51360000000001,28.09360000000001,2025-10,0,18,6202.8724
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,livrée,71.34679999999999,28.538719999999998,12.068719999999999,2025-08,0,18,4248.74165
CMD100090,2025-09-24,C0276,Kinshasa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,livrée,77.616,31.046400000000002,12.546400000000002,2025-09,0,16,4919.5862
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,livrée,79.83760000000001,31.935040000000004,16.265040000000006,2025-10,0,8,3555.6477000000004
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,retournée,43.8598,17.54392,3.883919999999999,2025-09,1,20,6143.98655
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,livrée,1361.1576,544.46304,525.22304,2025-11,0,19,5416.1631
CMD100094,2025-07-02,C0611,Kinshasa,Électronique,Produit_Électronique_35,478.83,3,0.0,5.85,Paiement à la livraison,Email,1.48,livrée,1436.49,574.596,567.266,2025-07,0,3,1559.2503
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,118.31,2,0.01,7.01,Paiement à la livraison,Google Ads,6.95,livrée,234.2538,93.70152000000002,79.74152000000001,2025-11,0,4,527.0607
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,livrée,351.37649999999996,140.5506,128.3706,2025-07,0,8,3080.7073
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,retournée,1013.4911999999999,405.39648,400.23648,2025-08,1,1,1013.4911999999999
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,livrée,36.3216,14.52864,-9.89136,2025-11,0,13,2979.4156
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,livrée,253.5652,101.42608000000001,86.85608000000002,2025-10,0,16,4000.2536
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,livrée,23.8576,9.543040000000001,-9.526959999999999,2025-09,0,16,5828.0513
CMD100101,2025-07-21,C0383,Kinshasa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,livrée,72.58680000000001,29.034720000000007,18.614720000000005,2025-07,0,15,4326.4752
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,annulée,14.874,5.9496,-3.6503999999999994,2025-12,0,15,4313.6168
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,livrée,84.79679999999999,33.91872,29.37872,2025-12,0,12,4416.2336
CMD100105,2025-12-03,C1531,Abidjan,Électronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,livrée,410.2974,164.11896000000002,151.35896000000002,2025-12,0,2,658.4706
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,7.09,livrée,711.12,284.44800000000004,274.68800000000005,2025-07,0,20,5692.7441
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,livrée,78.375,31.35,12.700000000000001,2025-12,0,16,4760.0495
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,5.08,livrée,54.7956,21.91824,10.17824,2025-09,0,2,1025.778
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,5.07,Virement,Influenceur,13.51,retournée,61.824,24.7296,6.149600000000001,2025-11,1,18,3327.8949000000002
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,livrée,1544.8032,617.92128,609.4812800000001,2025-10,0,14,4258.9868
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,22.09,2,0.02,7.85,Virement,Google Ads,7.82,livrée,43.2964,17.31856,1.6485600000000016,2025-10,0,8,2668.7108
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,livrée,90.4148,36.16592,17.355919999999998,2025-11,0,2,139.11919999999998
CMD100113,2025-09-01,C0177,Kinshasa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,livrée,58.589999999999996,23.436,8.526,2025-09,0,14,2172.0605
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,livrée,495.1531,198.06124,187.94124000000002,2025-10,0,8,3080.7073
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,livrée,106.284,42.513600000000004,26.613600000000005,2025-09,0,16,5010.4933
CMD100116,2025-09-10,C1436,Dakar,Électronique,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,livrée,95.18,38.072,27.722,2025-09,0,4,486.8435
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,livrée,425.2654,170.10616000000002,156.79616000000001,2025-08,0,26,5570.7768
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,26.235,2,0.06,7.0,Carte,Email,0.95,livrée,49.321799999999996,19.72872,11.77872,2025-10,0,3,2311.9398
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,livrée,70.95599999999999,28.382399999999997,11.692399999999996,2025-09,0,16,5550.3728
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,livrée,236.21999999999997,94.488,87.618,2025-11,0,17,2257.3316
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,livrée,89.4474,35.778960000000005,22.648960000000006,2025-12,0,23,7231.681
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,livrée,28.557199999999998,11.42288,-15.75712,2025-08,0,17,2589.7907
CMD100123,2025-08-25,C0566,Kinshasa,Mode,Produit_Mode_7,18.03,3,0.0,8.21,Virement,Instagram Ads,8.84,livrée,54.09,21.636000000000003,4.586000000000002,2025-08,0,5,687.2676
CMD100124,2025-08-19,C0184,Dakar,Électronique,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,livrée,28.4456,11.37824,-4.66176,2025-08,0,20,7915.6847
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,3.05,livrée,107.2884,42.91536,33.07536,2025-11,0,12,1593.5138
CMD100126,2025-11-03,C0006,Kinshasa,Mode,Produit_Mode_31,46.5,2,0.18,6.94,Paiement à la livraison,Instagram Ads,8.37,livrée,76.26,30.504000000000005,15.194000000000004,2025-11,0,17,2328.0505
CMD100127,2025-10-21,C0026,Kinshasa,Beauté,Produit_Beauté_8,22.6,1,0.04,8.91,Paiement à la livraison,Google Ads,6.53,livrée,21.696,8.678400000000002,-6.761599999999999,2025-10,0,23,4949.3315
CMD100128,2025-07-17,C0037,Douala,Mode,Produit_Mode_10,35.18,2,0.08,2.33,Mobile Money,Instagram Ads,9.52,livrée,64.7312,25.892480000000003,14.042480000000001,2025-07,0,16,3140.1119
CMD100129,2025-11-22,C0174,Brazzaville,Électronique,Produit_Électronique_36,345.88,3,0.29,5.91,Carte,Instagram Ads,11.39,livrée,736.7243999999998,294.6897599999999,277.3897599999999,2025-11,0,20,5427.0027
CMD100130,2025-10-15,C1619,Kinshasa,Beauté,Produit_Beauté_29,17.49,3,0.1,4.04,Paiement à la livraison,Instagram Ads,12.31,livrée,47.223,18.8892,2.5391999999999992,2025-10,0,4,1094.9758000000002
CMD100132,2025-12-06,C0378,Dakar,Beauté,Produit_Beauté_41,30.11,1,0.06,8.93,Mobile Money,Google Ads,6.02,livrée,28.303399999999996,11.321359999999999,-3.6286400000000008,2025-12,0,18,4197.1165
CMD100133,2025-08-24,C0041,Lomé,Maison,Produit_Maison_36,74.28,1,0.07,8.46,Mobile Money,Email,1.11,livrée,69.0804,27.63216,18.06216,2025-08,0,15,3573.78165
CMD100134,2025-07-20,C0209,Lomé,Beauté,Produit_Beauté_19,35.32,2,0.0,5.11,Paiement à la livraison,Email,1.05,livrée,70.64,28.256,22.096,2025-07,0,13,4210.9073
CMD100135,2025-07-09,C0361,Kinshasa,Mode,Produit_Mode_5,36.08,1,0.05,6.0,Paiement à la livraison,Email,0.75,livrée,34.275999999999996,13.7104,6.9604,2025-07,0,11,3277.2102
CMD100136,2025-12-23,C0135,Brazzaville,Beauté,Produit_Beauté_28,25.72,3,0.06,2.15,Mobile Money,Email,1.72,livrée,72.53039999999999,29.012159999999994,25.142159999999997,2025-12,0,21,6135.118799999999
